### Module positions - created on Thursday, September 29, 2016 'PMt' 08:13:46 PM ###
### Printed by Pcbnew version kicad 4.0.4-stable
## Unit = mm, Angle = deg.
## Side : bottom
# Ref     Val        Package                PosX       PosY       Rot  Side
D_H_1, CLY6D-FKC, CREELED_6, 58.6740, 11.5570, 0.0000, bottom
D_H_2, CLY6D-FKC, CREELED_6, 58.6740, 19.1770, 0.0000, bottom
D_H_4, CLY6D-FKC, CREELED_6, 58.6740, 26.7970, 0.0000, bottom
D_H_8, CLY6D-FKC, CREELED_6, 58.6740, 34.4170, 0.0000, bottom
D_H_10, CLY6D-FKC, CREELED_6, 67.5640, 11.5570, 0.0000, bottom
D_H_20, CLY6D-FKC, CREELED_6, 67.5640, 19.1770, 0.0000, bottom
D_M_1, CLY6D-FKC, CREELED_6, 38.3540, 11.5570, 0.0000, bottom
D_M_2, CLY6D-FKC, CREELED_6, 38.3540, 19.1770, 0.0000, bottom
D_M_4, CLY6D-FKC, CREELED_6, 38.3540, 26.7970, 0.0000, bottom
D_M_8, CLY6D-FKC, CREELED_6, 38.3540, 34.4170, 0.0000, bottom
D_M_10, CLY6D-FKC, CREELED_6, 47.2440, 11.5570, 0.0000, bottom
D_M_20, CLY6D-FKC, CREELED_6, 47.2440, 19.1770, 0.0000, bottom
D_M_40, CLY6D-FKC, CREELED_6, 47.2440, 26.7970, 0.0000, bottom
D_S_1, CLY6D-FKC, CREELED_6, 16.7640, 11.5570, 0.0000, bottom
D_S_2, CLY6D-FKC, CREELED_6, 16.7640, 19.1770, 0.0000, bottom
D_S_4, CLY6D-FKC, CREELED_6, 16.7640, 26.7970, 0.0000, bottom
D_S_8, CLY6D-FKC, CREELED_6, 16.7640, 34.4170, 0.0000, bottom
D_S_10, CLY6D-FKC, CREELED_6, 25.6540, 11.5570, 0.0000, bottom
D_S_20, CLY6D-FKC, CREELED_6, 25.6540, 19.1770, 0.0000, bottom
D_S_40, CLY6D-FKC, CREELED_6, 25.6540, 26.7970, 0.0000, bottom
## End
